Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
jitwatch,org.adoptopenjdk.jitwatch.model.bytecode,MemberBytecode,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
jitwatch,org.adoptopenjdk.jitwatch.parser,AbstractLogParser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 17
jitwatch,org.adoptopenjdk.jitwatch.parser.j9,J9Line,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: TEMPERATURE_COLD; TEMPERATURE_WARM; TEMPERATURE_PROFILED_VERY_HOT
jitwatch,org.adoptopenjdk.jitwatch.process.compiler,CompilerKotlin,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: KOTLIN_EXECUTABLE_JAR
jitwatch,org.adoptopenjdk.jitwatch.report.escapeanalysis,AbstractEscapeAnalysisWalker,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
jitwatch,org.adoptopenjdk.jitwatch.report.inlining,InliningWalker,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
jitwatch,org.adoptopenjdk.jitwatch.report.suggestion,SuggestionWalker,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 10
jitwatch,org.adoptopenjdk.jitwatch.util,ParseUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: CLASS_NAME_REGEX_GROUP; METHOD_NAME_REGEX_GROUP; PARAM_REGEX_GROUP; RETURN_REGEX_GROUP; TYPE_SHORT; TYPE_CHARACTER; TYPE_BYTE; TYPE_VOID; TYPE_LONG; TYPE_DOUBLE; TYPE_BOOLEAN; TYPE_INTEGER; TYPE_FLOAT
jitwatch,org.adoptopenjdk.jitwatch.util,ParseUtil,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 11
jitwatch,org.adoptopenjdk.jitwatch.util,UserInterfaceUtil,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: IMAGE_TICK; IMAGE_CAMERA; FONT_MONOSPACE_FAMILY; FONT_MONOSPACE_SIZE; ADD_CLOSE_DECORATION
jitwatch,(default package),MegamorphicBypass,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: moneyBox
jitwatch,(default package),PartialEscapeFail.EscapeConsumer,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
